,Image,F1,Jaccard,Recall,Precision
195,2154.png,0.0,0.0,0.0,0.0
196,1657.png,0.9329446064139941,0.8743169398907104,0.9937888198757764,0.8791208791208791
197,69.png,0.9463276836158192,0.8981233243967829,0.9925925925925926,0.9041835357624831
198,1568.png,0.8912579957356076,0.8038461538461539,0.9675925925925926,0.8260869565217391
199,222.png,0.9755644911846582,0.9522946859903382,0.9680785758133824,0.9831670822942643
200,269.png,0.9009640666082384,0.8197767145135566,0.967984934086629,0.8426229508196721
201,3041.png,0.0,0.0,0.0,0.0
202,1043.png,0.9085714285714286,0.8324607329842932,0.8514056224899599,0.9739663093415007
203,2479.png,0.8610421836228288,0.7559912854030502,0.8897435897435897,0.8341346153846154
204,2550.png,0.14285714285714288,0.07692307692307693,0.10825688073394496,0.2099644128113879
205,393.png,0.0,0.0,0.0,0.0
206,110.png,0.7885952712100138,0.6509758897818599,0.7222929936305732,0.8683001531393568
207,3033.png,0.5182347532945144,0.349741468459152,0.3545816733067729,0.9624359704040979
208,2233.png,0.4587813620071684,0.29767441860465116,0.6470092670598147,0.35539102267468764
209,2965.png,0.2604006163328197,0.14968999114260406,0.15102770330652368,0.9441340782122905
210,581.png,0.9767621998450813,0.9545798637395913,0.9913522012578616,0.9625954198473282
211,1089.png,0.8281938325991189,0.706766917293233,0.7114474929044465,0.9907773386034255
212,2627.png,0.0,0.0,0.0,0.0
213,1411.png,0.9559322033898305,0.9155844155844156,0.9559322033898305,0.9559322033898305
214,244.png,0.9645184648805213,0.9314685314685315,0.9555236728837877,0.9736842105263158
215,2609.png,0.306320907617504,0.18086124401913875,0.18086124401913875,1.0
216,855.png,0.8615695520377231,0.7568047337278107,0.9274836838288615,0.8044025157232705
217,2909.png,0.8897485493230174,0.8013937282229965,0.8443465491923642,0.9403107113654947
218,1207.png,0.9067524115755626,0.8294117647058824,0.8650306748466258,0.9527027027027027
219,2593.png,0.9282346778418019,0.8660801564027371,0.9068577277379734,0.9506437768240343
220,184.png,0.757455268389662,0.6096,0.8964705882352941,0.6557659208261618
221,2060.png,0.0,0.0,0.0,0.0
222,159.png,0.945235834124723,0.8961584633853541,0.9267535692116697,0.9644702842377261
223,512.png,0.9775367931835787,0.956060606060606,0.9643402954661233,0.9910994764397906
224,2732.png,0.6191950464396284,0.4484304932735426,0.5263157894736842,0.7518796992481203
225,2994.png,0.0,0.0,0.0,0.0
226,2394.png,0.5251125736058191,0.35603569751056835,0.4533492822966507,0.6238683127572017
227,1420.png,0.9161290322580644,0.8452380952380952,0.8658536585365854,0.9726027397260274
228,1814.png,0.8231173380035026,0.6994047619047619,0.9832635983263598,0.7078313253012049
229,782.png,0.9282296650717703,0.8660714285714286,0.986244019138756,0.8766613503455609
230,1437.png,0.8852637302882002,0.7941463414634147,0.996328029375765,0.7964774951076321
231,2300.png,0.621773288439955,0.4511400651465798,1.0,0.4511400651465798
232,2801.png,0.8795216741405082,0.7849519743863393,0.9932478055367995,0.7891630901287554
233,2418.png,0.8964589870013446,0.8123476848090982,0.8149959250203749,0.9960159362549801
234,1955.png,0.7108927108927108,0.5514612452350699,0.5521628498727735,0.9977011494252873
235,1342.png,0.9363295880149812,0.8802816901408451,0.8877840909090909,0.9904912836767037
236,1585.png,0.9379576107899809,0.8831640058055152,0.9412219644238206,0.934715821812596
237,6.png,0.8812561334641806,0.787719298245614,0.8046594982078853,0.9739696312364425
238,718.png,0.7096491228070176,0.5499660095173351,0.5625869262865091,0.9608076009501187
239,437.png,0.9313432835820895,0.8715083798882681,0.9512195121951219,0.9122807017543859
240,1792.png,0.5333333333333333,0.36363636363636365,0.9333333333333333,0.37333333333333335
